"corporacion_codigo","corporacion_etiqueta","departamento_codigo","municipio_codigo","municipio_nombre","zona_codigo","zona_nombre","puesto_codigo","puesto_nombre"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","01","SEC. ESC. LA ESPERANZA No 2"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","02","INST.EDUC. LA CANDELARIA"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","03","IE MARIA DE LOS ANGELES CANO MARQUEZ"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","04","SEC. ESC. MEDELLIN"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","05","I.E.FE Y ALEGRIA GRANIZAL"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","06","IE LA AVANZADA"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","07","SEC. ESC. CARPINELO AMAPOLITA"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","08","IE ANTONIO DERKA"
"001","PRESIDENTE","01","001","MEDELLIN","01","01","09","SEC. ESC. NUEVO HORIZONTE 2"
"001","PRESIDENTE","01","001","MEDELLIN","02","02","01","I.E. NUEVO HORIZONTE - PAULO VI"
"001","PRESIDENTE","01","001","MEDELLIN","02","02","02","SEC. ESC. DIVINA PROVIDENCIA"
"001","PRESIDENTE","01","001","MEDELLIN","02","02","03","SEC.ESC.AGRIPINA MONTES DEL VALLE"
"001","PRESIDENTE","01","001","MEDELLIN","02","02","04","I.E.FEDERICO CARRASQUILLA"
"001","PRESIDENTE","01","001","MEDELLIN","02","02","05","I.E.GUADALUPE"
"001","PRESIDENTE","01","001","MEDELLIN","03","03","01","I.E.  ASIA IGNACIANA"
"001","PRESIDENTE","01","001","MEDELLIN","03","03","02","SEC.ESC.  MANUEL URIBE ANGEL"
"001","PRESIDENTE","01","001","MEDELLIN","03","03","03","SEC. ESC. FIDEL ANTONIO SALDARRIAGA"
"001","PRESIDENTE","01","001","MEDELLIN","03","03","04","SEC ESC LA FRONTERA"
"001","PRESIDENTE","01","001","MEDELLIN","04","04","01","I.E. BARRIO SANTA CRUZ"
"001","PRESIDENTE","01","001","MEDELLIN","04","04","02","SEC. ESC. ARZOBISPO GARCIA"
"001","PRESIDENTE","01","001","MEDELLIN","04","04","03","I.E. REPUBLICA DE HONDURAS"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","01","I.E. MONTECARLO GUILLERMO GAVIRIA CORREA"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","02","IE LAS NIEVES"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","03","I.E. MANUELA BELTRAN"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","04","SEC ESC SAN JOSE (IE MANUELA BELTRAN)"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","05","I.E.RAMON MUNERA LOPERA"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","06","IE BELLO ORIENTE"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","07","IE JOSE ROBERTO VASQUEZ"
"001","PRESIDENTE","01","001","MEDELLIN","05","05","08","SEC. ESC. BALDOMERO SANIN CANO"
"001","PRESIDENTE","01","001","MEDELLIN","06","06","01","I.E. JOSE ANTONIO GALAN"
"001","PRESIDENTE","01","001","MEDELLIN","06","06","02","I.E. HERNAN TORO AGUDELO"
"001","PRESIDENTE","01","001","MEDELLIN","06","06","03","IE RODRIGO LARA BONILLA - SEDE LA SUSANA"
"001","PRESIDENTE","01","001","MEDELLIN","06","06","04","IE SAN JUAN BAUTISTA DE LA SALLE"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","01","COL AGUSTINIANO DE SAN NICOLAS"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","02","I.E. MONSEÑOR FRANCISCO CRISTOBAL TORO"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","03","I.E. GILBERTO ALZATE AVENDAÑO"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","04","I.E. CAMPO VALDES"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","05","I.E.SAN JUAN BOSCO"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","06","I.E. JOSE EUSEBIO CARO"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","07","IE LORENZA VILLEGAS DE SANTOS"
"001","PRESIDENTE","01","001","MEDELLIN","07","07","08","SEC ESC TOMAS CARRASQUILLA No 1"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","01","I.E. ALFONSO MORA NARANJO"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","02","I.E. JOSE MARIA BRAVO MARQUEZ"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","03","I.E. FRANCISCO MIRANDA"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","04","I.E. JAVIERA LONDOÑO SEVILLA"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","05","I.E. EL BOSQUE"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","06","SEC ESC JULIO ARBOLEDA"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","07","SEC. ESC. PORFIRIO BARBA JACOB"
"001","PRESIDENTE","01","001","MEDELLIN","08","08","08","IE FE Y ALEGRIA LUIS AMIGO MORAVIA"
"001","PRESIDENTE","01","001","MEDELLIN","09","09","01","I.E. JULIO CESAR GARCIA"
"001","PRESIDENTE","01","001","MEDELLIN","09","09","02","IE DIEGO ECHAVARRIA MISAS"
"001","PRESIDENTE","01","001","MEDELLIN","09","09","03","I.E. PBRO ANTONIO JOSE BERNAL LONDOÑO SJ"
"001","PRESIDENTE","01","001","MEDELLIN","09","09","04","I.E.SEBASTIAN DE BELALCAZAR"
"001","PRESIDENTE","01","001","MEDELLIN","09","09","05","SEC ESC TRICENTENARIO"
"001","PRESIDENTE","01","001","MEDELLIN","09","09","06","SEC ESC TOSCANA"
"001","PRESIDENTE","01","001","MEDELLIN","10","10","01","I.E. MARIA MONTESSORI"
"001","PRESIDENTE","01","001","MEDELLIN","10","10","02","ITM CASTILLA"
"001","PRESIDENTE","01","001","MEDELLIN","10","10","03","I.E. DINAMARCA"
"001","PRESIDENTE","01","001","MEDELLIN","10","10","04","I.E. REPUBLICA DE URUGUAY"
"001","PRESIDENTE","01","001","MEDELLIN","10","10","05","IE FELIX DE BEDOUT MORENO"
"001","PRESIDENTE","01","001","MEDELLIN","10","10","06","TERMINAL DE TRANSPORTES DEL NORTE"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","01","I.E. CIUDADELA LAS AMERICAS"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","02","I.E. PROGRESAR"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","03","SEC. ESC. LEON DE GREIFF"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","04","I.E. DOCE DE OCTUBRE"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","05","I.E. JOSE MARIA ESPINOSA PRIETO - CASD"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","06","I.E. EL TRIUNFO SANTA TERESA"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","07","I.E. SANTA JUANA DE LESTONNAC"
"001","PRESIDENTE","01","001","MEDELLIN","11","11","08","I.E. JESUS MARIA VALLE"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","01","I.E.MAESTRO FERNANDO BOTERO"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","02","I.E.ALFREDO COCK ARANGO"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","03","SEC.ESC.SAN MARTIN DE PORRES"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","04","I.E. KENNEDY"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","05","SEC.CONCENTRACION EDUC.KENNEDY"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","06","I.E. JORGE ELIECER GAITAN"
"001","PRESIDENTE","01","001","MEDELLIN","12","12","07","SEC. ESC. EL PEDREGAL"
